,CensusTract,County_x,Borough,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Latitude,Longitude,County_y,State,Zipcode
60,36005000400,Bronx,Bronx,5915,2896,3019,62.7,3.6,30.7,0.0,0.3,4100,74836.0,8407.0,27700.0,2449.0,13.2,23.6,32.2,23.4,24.9,9.0,10.5,41.3,10.0,44.6,1.4,0.5,2.1,45.0,2675,71.7,25.3,2.5,0.6,9.5,40.8011055276,-73.84628140699999,Bronx,NY,11356
155,36005002701,Bronx,Bronx,3016,1375,1641,68.0,0.0,31.2,0.0,0.0,1456,20153.0,5229.0,10317.0,1573.0,52.6,64.9,19.9,35.9,25.8,4.9,13.5,14.0,1.7,64.7,18.0,0.0,1.6,42.8,1102,86.9,8.5,4.5,0.0,15.2,40.8056281407,-73.91592964819999,Bronx,NY,10454
157,36005002702,Bronx,Bronx,4778,2427,2351,71.3,1.6,26.2,0.0,0.0,2365,17147.0,7165.0,8911.0,1450.0,52.7,63.1,15.2,46.4,25.0,1.7,11.6,5.1,3.0,83.6,7.1,0.7,0.5,44.0,1559,75.0,14.0,11.0,0.0,10.6,40.8078894472,-73.91592964819999,Bronx,NY,10454
156,36005002702,Bronx,Bronx,4778,2427,2351,71.3,1.6,26.2,0.0,0.0,2365,17147.0,7165.0,8911.0,1450.0,52.7,63.1,15.2,46.4,25.0,1.7,11.6,5.1,3.0,83.6,7.1,0.7,0.5,44.0,1559,75.0,14.0,11.0,0.0,10.6,40.8056281407,-73.9127638191,Bronx,NY,10455
158,36005002800,Bronx,Bronx,5299,2292,3007,23.0,0.2,71.4,0.0,1.7,4056,49529.0,5441.0,26652.0,3069.0,8.5,6.5,36.6,24.4,26.6,4.9,7.4,42.8,3.7,48.2,2.0,0.6,2.7,47.3,2394,61.9,37.4,0.6,0.0,12.8,40.819195979899995,-73.8811055276,Bronx,NY,10474
174,36005003800,Bronx,Bronx,1193,542,651,53.1,1.8,42.7,0.0,0.8,846,37685.0,6696.0,19795.0,6558.0,31.3,45.0,35.7,31.9,17.6,3.2,11.6,41.6,1.7,47.3,6.9,1.3,1.1,41.3,476,71.8,27.1,1.1,0.0,13.1,40.8214572864,-73.8621105528,Bronx,NY,10473
177,36005004001,Bronx,Bronx,1419,675,744,51.3,11.2,10.8,0.0,21.6,936,48056.0,6057.0,22652.0,3344.0,16.6,28.6,18.1,17.9,42.7,9.5,11.8,31.0,3.0,62.9,3.2,0.0,0.0,47.4,602,81.9,16.9,1.2,0.0,6.8,40.828241206,-73.85894472359999,Bronx,NY,10472
188,36005004200,Bronx,Bronx,7120,3147,3973,46.5,5.1,47.0,0.0,0.8,5248,25741.0,7845.0,13846.0,1947.0,40.5,56.4,26.3,32.0,23.9,6.6,11.1,19.4,2.7,68.9,7.2,1.0,1.0,48.5,2094,71.8,24.2,3.4,0.6,21.0,40.8259798995,-73.85894472359999,Bronx,NY,10472
197,36005004600,Bronx,Bronx,1869,845,1024,59.7,3.0,36.6,0.4,0.0,1182,40950.0,10707.0,19260.0,4463.0,25.5,37.1,23.6,38.4,21.2,5.9,10.9,35.3,8.3,47.1,9.3,0.0,0.0,33.7,589,68.6,23.3,8.1,0.0,13.4,40.8214572864,-73.8684422111,Bronx,NY,10473
200,36005005001,Bronx,Bronx,4885,2313,2572,58.4,0.0,36.8,0.0,0.0,2288,27456.0,9296.0,15334.0,2365.0,34.4,50.2,12.3,36.9,24.5,15.6,10.6,14.7,4.3,69.6,8.0,0.0,3.3,48.2,1919,78.0,16.3,3.1,2.6,14.5,40.8259798995,-73.8779396985,Bronx,NY,10459
201,36005005002,Bronx,Bronx,5650,2867,2783,73.2,0.4,17.1,1.4,0.2,1995,28039.0,5380.0,12990.0,1906.0,45.6,60.7,5.4,43.4,19.8,18.5,12.9,5.4,3.4,75.1,10.4,2.3,3.3,48.2,2647,93.3,2.1,4.6,0.0,13.3,40.828241206,-73.8779396985,Bronx,NY,10459
215,36005005300,Bronx,Bronx,3727,1514,2213,44.1,3.0,50.7,0.5,0.2,2053,17719.0,4121.0,10031.0,1557.0,54.7,70.0,17.2,38.0,20.8,10.6,13.4,11.0,4.4,78.7,3.6,2.4,0.0,56.8,990,85.1,14.9,0.0,0.0,23.7,40.850854271399996,-73.92226130649999,Bronx,NY,10453
218,36005005600,Bronx,Bronx,2468,1084,1384,66.4,1.0,24.4,0.0,1.8,1296,17771.0,4860.0,13596.0,2014.0,38.0,52.0,21.1,33.0,23.8,10.7,11.4,17.6,7.4,65.0,8.7,0.0,1.3,40.0,821,87.3,10.2,2.4,0.0,16.8,40.8327638191,-73.8811055276,Bronx,NY,10459
219,36005005600,Bronx,Bronx,2468,1084,1384,66.4,1.0,24.4,0.0,1.8,1296,17771.0,4860.0,13596.0,2014.0,38.0,52.0,21.1,33.0,23.8,10.7,11.4,17.6,7.4,65.0,8.7,0.0,1.3,40.0,821,87.3,10.2,2.4,0.0,16.8,40.8327638191,-73.8779396985,Bronx,NY,10460
249,36005006300,Bronx,Bronx,4431,2394,2037,69.1,3.7,20.6,0.8,5.0,2523,32064.0,4061.0,19243.0,2473.0,27.7,45.0,19.9,25.9,33.4,5.4,15.5,12.9,0.8,73.3,10.4,2.7,0.0,41.4,2032,80.0,13.9,6.1,0.0,12.8,40.8305025126,-73.92542713569999,Bronx,NY,10452
252,36005006400,Bronx,Bronx,3590,1755,1835,54.8,8.3,31.8,0.0,1.1,2288,30726.0,8555.0,15846.0,3083.0,41.1,63.9,25.4,18.7,40.5,9.9,5.5,32.0,0.8,63.8,0.7,0.6,2.1,46.7,1459,79.4,13.0,7.5,0.0,12.2,40.8350251256,-73.8716080402,Bronx,NY,10460
267,36005007100,Bronx,Bronx,2547,1080,1467,60.7,1.1,36.4,0.0,0.9,1783,38289.0,6810.0,18245.0,3123.0,28.8,37.8,26.7,23.4,27.6,14.4,7.8,19.2,0.5,68.3,9.4,1.2,1.4,44.4,1011,78.2,19.8,2.0,0.0,16.5,40.8146733668,-73.9127638191,Bronx,NY,10455
276,36005007300,Bronx,Bronx,3761,1866,1895,63.0,2.0,33.9,0.1,0.0,1690,18358.0,5706.0,9872.0,1662.0,50.7,60.0,10.1,47.9,26.3,4.8,10.9,12.2,1.9,61.8,9.5,2.6,12.0,46.2,1127,91.2,5.3,3.5,0.0,20.2,40.8146733668,-73.90959798989999,Bronx,NY,10455
281,36005007500,Bronx,Bronx,5599,2072,3527,58.8,1.8,38.5,0.9,0.0,3307,25452.0,5317.0,13290.0,1603.0,31.7,43.5,19.5,40.5,25.1,6.5,8.4,18.6,3.8,63.1,10.1,1.8,2.7,38.8,2017,78.7,15.2,6.1,0.0,8.5,40.819195979899995,-73.90959798989999,Bronx,NY,10451
280,36005007500,Bronx,Bronx,5599,2072,3527,58.8,1.8,38.5,0.9,0.0,3307,25452.0,5317.0,13290.0,1603.0,31.7,43.5,19.5,40.5,25.1,6.5,8.4,18.6,3.8,63.1,10.1,1.8,2.7,38.8,2017,78.7,15.2,6.1,0.0,8.5,40.8169346734,-73.90959798989999,Bronx,NY,10455
282,36005007500,Bronx,Bronx,5599,2072,3527,58.8,1.8,38.5,0.9,0.0,3307,25452.0,5317.0,13290.0,1603.0,31.7,43.5,19.5,40.5,25.1,6.5,8.4,18.6,3.8,63.1,10.1,1.8,2.7,38.8,2017,78.7,15.2,6.1,0.0,8.5,40.8214572864,-73.9064321608,Bronx,NY,10456
305,36005008500,Bronx,Bronx,5959,3196,2763,77.4,1.0,19.5,0.0,1.0,2988,27174.0,7981.0,12216.0,1583.0,39.3,41.9,15.4,36.2,27.8,7.8,12.8,13.1,3.4,66.7,11.7,3.2,1.9,37.9,2188,82.8,5.3,9.8,2.1,15.1,40.8169346734,-73.9001005025,Bronx,NY,10455
304,36005008500,Bronx,Bronx,5959,3196,2763,77.4,1.0,19.5,0.0,1.0,2988,27174.0,7981.0,12216.0,1583.0,39.3,41.9,15.4,36.2,27.8,7.8,12.8,13.1,3.4,66.7,11.7,3.2,1.9,37.9,2188,82.8,5.3,9.8,2.1,15.1,40.8146733668,-73.8969346734,Bronx,NY,10474
310,36005008700,Bronx,Bronx,6002,2843,3159,76.9,2.2,20.5,0.0,0.0,3246,29188.0,5168.0,14050.0,1567.0,30.4,36.2,16.1,39.0,25.7,7.1,12.1,9.5,4.0,70.7,7.5,2.3,6.0,44.5,2236,80.6,15.2,4.2,0.0,8.3,40.819195979899995,-73.9001005025,Bronx,NY,10455
312,36005008700,Bronx,Bronx,6002,2843,3159,76.9,2.2,20.5,0.0,0.0,3246,29188.0,5168.0,14050.0,1567.0,30.4,36.2,16.1,39.0,25.7,7.1,12.1,9.5,4.0,70.7,7.5,2.3,6.0,44.5,2236,80.6,15.2,4.2,0.0,8.3,40.8214572864,-73.8969346734,Bronx,NY,10459
313,36005008900,Bronx,Bronx,3438,1661,1777,79.9,1.6,16.6,0.5,1.4,1672,20849.0,7996.0,11550.0,1928.0,32.5,26.8,15.9,41.7,21.1,7.4,13.9,11.7,4.9,67.7,10.4,1.1,4.1,44.3,1162,83.4,11.3,5.3,0.0,6.5,40.819195979899995,-73.8937688442,Bronx,NY,10474
343,36005009000,Bronx,Bronx,3476,1681,1795,66.5,3.3,24.6,0.0,4.7,2354,27000.0,12365.0,19161.0,5914.0,36.7,48.8,31.0,24.9,34.6,5.3,4.2,36.4,6.5,47.8,4.8,0.0,4.4,43.8,1075,78.5,17.6,3.9,0.0,14.6,40.8259798995,-73.8431155779,Bronx,NY,10472
314,36005009000,Bronx,Bronx,3476,1681,1795,66.5,3.3,24.6,0.0,4.7,2354,27000.0,12365.0,19161.0,5914.0,36.7,48.8,31.0,24.9,34.6,5.3,4.2,36.4,6.5,47.8,4.8,0.0,4.4,43.8,1075,78.5,17.6,3.9,0.0,14.6,40.8011055276,-73.8431155779,Bronx,NY,11356
318,36005009000,Bronx,Bronx,3476,1681,1795,66.5,3.3,24.6,0.0,4.7,2354,27000.0,12365.0,19161.0,5914.0,36.7,48.8,31.0,24.9,34.6,5.3,4.2,36.4,6.5,47.8,4.8,0.0,4.4,43.8,1075,78.5,17.6,3.9,0.0,14.6,40.8033668342,-73.8336180905,Bronx,NY,11357
351,36005009200,Bronx,Bronx,5622,2578,3044,60.9,2.8,14.2,0.0,17.8,3260,35227.0,8725.0,18825.0,2909.0,21.3,28.2,24.3,29.6,26.5,5.9,13.7,13.2,8.1,67.9,6.7,3.8,0.4,48.4,2235,77.0,16.8,6.1,0.0,18.6,40.8327638191,-73.84944723619998,Bronx,NY,10462
563,36005012102,Bronx,Bronx,1835,762,1073,81.9,0.9,16.1,0.0,0.0,1132,20028.0,4672.0,8603.0,1677.0,49.6,61.0,11.0,37.1,32.2,6.3,13.5,15.7,5.2,70.2,8.9,0.0,0.0,44.1,510,87.1,8.6,4.3,0.0,17.7,40.8259798995,-73.8874371859,Bronx,NY,10459
567,36005012500,Bronx,Bronx,4272,2125,2147,71.0,1.4,22.1,1.7,2.0,2119,26348.0,2834.0,14459.0,2055.0,42.9,57.0,30.8,26.8,14.2,7.9,20.3,21.5,3.7,61.6,6.0,4.1,3.0,39.3,1421,74.5,14.1,9.7,1.7,13.5,40.828241206,-73.8937688442,Bronx,NY,10459
574,36005013000,Bronx,Bronx,1364,637,727,41.2,55.1,1.5,0.0,0.0,1118,77917.0,19751.0,33654.0,5735.0,5.7,3.2,23.4,15.1,36.1,12.3,13.0,52.1,14.6,30.4,0.9,0.0,2.0,39.2,747,76.3,22.8,0.9,0.0,6.7,40.819195979899995,-73.8146231156,Bronx,NY,10465
575,36005013100,Bronx,Bronx,4685,2261,2424,71.4,0.8,24.3,0.0,1.8,2428,25271.0,7236.0,12742.0,1342.0,35.5,37.7,18.2,31.4,35.8,5.1,9.5,16.5,2.7,67.2,6.0,2.7,4.9,42.8,1686,80.5,9.2,10.3,0.0,11.5,40.8259798995,-73.9001005025,Bronx,NY,10456
576,36005013100,Bronx,Bronx,4685,2261,2424,71.4,0.8,24.3,0.0,1.8,2428,25271.0,7236.0,12742.0,1342.0,35.5,37.7,18.2,31.4,35.8,5.1,9.5,16.5,2.7,67.2,6.0,2.7,4.9,42.8,1686,80.5,9.2,10.3,0.0,11.5,40.8259798995,-73.8969346734,Bronx,NY,10459
607,36005013800,Bronx,Bronx,2989,1451,1538,21.6,67.4,4.9,0.0,4.9,2234,79773.0,16378.0,39479.0,5942.0,5.5,0.0,31.5,13.2,28.0,10.2,17.2,59.1,12.6,24.5,1.7,0.0,2.2,35.6,1420,72.7,22.2,5.1,0.0,7.9,40.812412060300005,-73.78296482409999,Bronx,NY,11357
672,36005014100,Bronx,Bronx,5355,2435,2920,61.2,0.8,36.2,0.0,0.9,2821,32500.0,6835.0,20805.0,7504.0,26.2,31.6,21.2,37.0,24.5,4.2,13.1,15.1,2.2,70.6,10.1,0.0,2.0,43.8,2163,88.3,8.9,1.9,0.9,13.1,40.823718593,-73.90959798989999,Bronx,NY,10456
691,36005015100,Bronx,Bronx,5458,2625,2833,56.9,1.3,40.4,0.0,0.0,2673,30339.0,4993.0,14429.0,1642.0,28.2,37.6,21.9,43.5,16.0,10.0,8.6,21.3,4.3,58.6,6.1,8.0,1.8,42.4,1935,82.2,14.3,3.5,0.0,10.4,40.8305025126,-73.9001005025,Bronx,NY,10456
708,36005015700,Bronx,Bronx,4054,1666,2388,66.4,1.0,30.8,0.0,0.4,2026,33785.0,6549.0,16223.0,3145.0,26.7,34.2,17.3,31.9,19.9,19.3,11.6,16.5,1.9,71.5,8.4,0.2,1.4,42.8,1808,73.0,18.2,8.8,0.0,22.6,40.8350251256,-73.8811055276,Bronx,NY,10460
712,36005015900,Bronx,Bronx,1420,528,892,91.2,0.5,6.8,0.0,1.5,929,16027.0,5922.0,12878.0,2925.0,51.0,57.4,38.3,34.7,22.1,0.0,4.9,19.7,0.0,67.6,11.0,0.0,1.6,46.3,426,84.5,15.3,0.2,0.0,13.1,40.8214572864,-73.8937688442,Bronx,NY,10459
748,36005016000,Bronx,Bronx,4274,2194,2080,23.1,70.8,0.7,0.0,3.2,2828,77216.0,22985.0,35775.0,3894.0,3.3,0.0,31.1,24.0,27.0,8.4,9.5,55.2,12.9,23.0,3.2,1.6,4.1,35.7,2148,85.3,13.1,1.6,0.0,6.9,40.8327638191,-73.78296482409999,Bronx,NY,10464
791,36005017300,Bronx,Bronx,6301,3055,3246,61.2,1.0,26.9,3.3,6.5,3140,18720.0,5158.0,11124.0,1676.0,36.7,30.7,16.4,36.3,29.5,1.5,16.3,9.5,0.6,75.8,10.6,1.1,2.4,44.1,1850,82.9,8.2,8.9,0.0,17.5,40.823718593,-73.91909547739999,Bronx,NY,10451
798,36005017702,Bronx,Bronx,5388,2510,2878,65.7,0.5,28.9,0.0,2.3,2453,23485.0,4504.0,12008.0,2234.0,42.1,54.5,28.3,30.6,19.5,3.4,18.2,13.3,6.2,62.4,6.5,2.7,8.9,41.2,1850,85.5,7.8,6.6,0.0,15.7,40.8350251256,-73.90959798989999,Bronx,NY,10456
799,36005017901,Bronx,Bronx,4661,2218,2443,69.1,1.1,24.2,3.8,1.9,2630,21376.0,4131.0,12459.0,2129.0,44.3,65.3,22.0,31.4,15.3,9.7,21.6,12.6,0.0,68.0,10.6,2.5,6.3,39.7,1870,71.0,13.4,15.6,0.0,15.7,40.8350251256,-73.91592964819999,Bronx,NY,10452
800,36005017902,Bronx,Bronx,3600,1717,1883,57.6,0.6,38.9,0.0,0.0,1711,20852.0,10152.0,11097.0,2032.0,41.3,51.8,13.3,45.4,24.6,6.9,9.8,7.1,1.0,75.9,5.4,0.0,10.7,43.3,1405,74.9,12.3,12.8,0.0,13.9,40.837286432199996,-73.9127638191,Bronx,NY,10452
804,36005018102,Bronx,Bronx,5626,2656,2970,54.2,4.6,36.5,0.0,4.1,2396,38250.0,3785.0,14801.0,2870.0,33.7,56.2,20.1,37.6,25.5,3.2,13.6,9.5,2.3,80.4,3.5,1.3,3.0,41.0,2363,84.2,6.3,9.1,0.5,14.8,40.8327638191,-73.91909547739999,Bronx,NY,10452
803,36005018102,Bronx,Bronx,5626,2656,2970,54.2,4.6,36.5,0.0,4.1,2396,38250.0,3785.0,14801.0,2870.0,33.7,56.2,20.1,37.6,25.5,3.2,13.6,9.5,2.3,80.4,3.5,1.3,3.0,41.0,2363,84.2,6.3,9.1,0.5,14.8,40.8305025126,-73.91909547739999,Bronx,NY,10456
805,36005018302,Bronx,Bronx,4078,1991,2087,67.4,2.0,28.4,0.0,0.5,2043,31324.0,5646.0,13543.0,2098.0,36.4,59.2,16.0,26.2,34.6,10.0,13.2,9.3,3.2,65.3,9.0,3.8,9.3,43.5,1573,90.3,7.1,2.6,0.0,16.8,40.8259798995,-73.91909547739999,Bronx,NY,10451
806,36005018302,Bronx,Bronx,4078,1991,2087,67.4,2.0,28.4,0.0,0.5,2043,31324.0,5646.0,13543.0,2098.0,36.4,59.2,16.0,26.2,34.6,10.0,13.2,9.3,3.2,65.3,9.0,3.8,9.3,43.5,1573,90.3,7.1,2.6,0.0,16.8,40.828241206,-73.91909547739999,Bronx,NY,10456
844,36005019500,Bronx,Bronx,7622,3232,4390,73.2,0.7,23.8,0.0,1.2,3957,26706.0,3344.0,14042.0,1701.0,34.4,40.4,15.9,47.2,22.4,5.1,9.4,8.2,6.0,63.3,12.7,2.6,7.2,40.1,2917,79.2,10.1,10.7,0.0,15.0,40.8327638191,-73.92226130649999,Bronx,NY,10452
843,36005019500,Bronx,Bronx,7622,3232,4390,73.2,0.7,23.8,0.0,1.2,3957,26706.0,3344.0,14042.0,1701.0,34.4,40.4,15.9,47.2,22.4,5.1,9.4,8.2,6.0,63.3,12.7,2.6,7.2,40.1,2917,79.2,10.1,10.7,0.0,15.0,40.8305025126,-73.92226130649999,Bronx,NY,10456
850,36005020000,Bronx,Bronx,4722,2312,2410,55.6,4.6,3.9,0.0,31.7,2450,44771.0,6435.0,19337.0,2835.0,27.4,35.9,19.4,35.1,21.4,10.6,13.5,17.4,5.7,64.4,5.4,3.6,3.5,50.1,2080,83.2,13.1,3.7,0.0,14.7,40.8418090452,-73.8431155779,Bronx,NY,10461
866,36005020502,Bronx,Bronx,2123,983,1140,64.1,3.7,31.8,0.0,0.2,1239,15343.0,4243.0,16001.0,2639.0,43.0,48.8,22.3,18.1,35.3,10.8,13.5,22.8,2.6,68.0,2.6,1.1,2.8,45.9,719,86.6,6.7,6.7,0.0,7.9,40.850854271399996,-73.91909547739999,Bronx,NY,10453
880,36005021200,Bronx,Bronx,5257,2551,2706,34.4,1.9,36.8,0.0,24.6,3937,51443.0,3590.0,24552.0,3833.0,13.7,5.9,36.6,23.1,26.6,7.2,6.4,18.1,2.0,66.1,9.7,2.4,1.7,40.1,2399,68.0,25.8,6.2,0.0,14.7,40.837286432199996,-73.85894472359999,Bronx,NY,10462
879,36005021200,Bronx,Bronx,5257,2551,2706,34.4,1.9,36.8,0.0,24.6,3937,51443.0,3590.0,24552.0,3833.0,13.7,5.9,36.6,23.1,26.6,7.2,6.4,18.1,2.0,66.1,9.7,2.4,1.7,40.1,2399,68.0,25.8,6.2,0.0,14.7,40.8350251256,-73.85894472359999,Bronx,NY,10472
887,36005021502,Bronx,Bronx,6013,3131,2882,75.0,1.7,22.7,0.0,0.0,2912,18507.0,3701.0,11639.0,1478.0,44.6,56.1,12.8,40.9,18.5,7.3,20.6,16.3,1.0,67.2,7.5,0.7,7.2,38.3,2225,82.8,9.3,7.9,0.0,16.4,40.8463316583,-73.91909547739999,Bronx,NY,10452
888,36005021502,Bronx,Bronx,6013,3131,2882,75.0,1.7,22.7,0.0,0.0,2912,18507.0,3701.0,11639.0,1478.0,44.6,56.1,12.8,40.9,18.5,7.3,20.6,16.3,1.0,67.2,7.5,0.7,7.2,38.3,2225,82.8,9.3,7.9,0.0,16.4,40.8485929648,-73.91592964819999,Bronx,NY,10453
894,36005021602,Bronx,Bronx,6243,2719,3524,39.1,1.4,38.7,0.7,15.0,4066,41487.0,5816.0,21913.0,2568.0,20.3,19.8,24.4,29.6,33.5,3.0,9.5,13.8,3.0,74.6,5.3,2.7,0.6,48.6,2893,72.6,22.8,4.6,0.0,11.2,40.8395477387,-73.8621105528,Bronx,NY,10462
905,36005022101,Bronx,Bronx,3884,1699,2185,77.6,0.0,17.6,0.0,2.7,1372,25870.0,4641.0,12249.0,2023.0,41.8,51.9,16.0,44.0,23.1,6.1,10.8,9.0,2.4,73.5,8.1,0.8,6.2,40.1,1553,84.9,12.0,3.0,0.0,11.6,40.837286432199996,-73.91909547739999,Bronx,NY,10452
908,36005022200,Bronx,Bronx,3414,1677,1737,59.5,4.1,16.4,0.0,18.5,1647,40331.0,11229.0,18173.0,2592.0,28.7,34.4,26.2,31.8,20.1,10.6,11.2,22.3,7.0,65.8,2.3,1.7,0.7,43.1,1636,87.5,11.5,1.0,0.0,14.0,40.8350251256,-73.85577889449999,Bronx,NY,10472
911,36005022300,Bronx,Bronx,5108,2565,2543,66.2,2.5,28.7,0.0,0.0,2436,24277.0,2983.0,13806.0,2829.0,41.4,59.7,16.5,39.7,23.7,10.1,9.9,16.0,3.2,68.5,8.2,1.9,2.2,42.2,2032,88.5,7.9,3.6,0.0,15.3,40.8418090452,-73.91592964819999,Bronx,NY,10452
912,36005022401,Bronx,Bronx,2652,1129,1523,66.1,9.0,18.7,0.0,6.0,1391,43611.0,7539.0,30091.0,11248.0,21.4,23.7,21.5,30.4,30.7,5.4,12.0,12.7,4.8,71.1,7.8,1.6,2.1,43.3,1230,84.2,12.1,3.7,0.0,17.0,40.8531155779,-73.8684422111,Bronx,NY,10460
918,36005022404,Bronx,Bronx,4187,1786,2401,46.8,27.9,18.3,0.0,4.3,2657,42070.0,8585.0,24555.0,3912.0,20.6,32.9,36.4,23.8,22.7,9.0,8.0,16.6,5.5,63.8,9.1,2.8,2.2,45.9,2151,73.2,24.1,2.6,0.0,6.4,40.8531155779,-73.8652763819,Bronx,NY,10460
919,36005022500,Bronx,Bronx,8066,3705,4361,63.8,0.2,33.9,0.0,1.8,2977,29302.0,3871.0,14612.0,5074.0,36.1,45.2,8.7,43.8,23.6,6.6,17.3,8.1,7.1,72.7,8.6,2.6,1.0,39.3,2849,85.2,7.8,7.0,0.0,15.6,40.837286432199996,-73.90959798989999,Bronx,NY,10456
925,36005022702,Bronx,Bronx,1485,853,632,52.1,0.0,39.5,0.7,4.2,767,23500.0,15325.0,15663.0,2287.0,34.8,45.8,18.8,25.7,33.7,7.1,14.7,11.8,0.0,68.5,8.1,1.5,10.1,38.1,606,74.3,12.5,13.2,0.0,17.4,40.8440703518,-73.9127638191,Bronx,NY,10453
926,36005022703,Bronx,Bronx,1871,817,1054,47.4,10.2,26.9,0.0,15.3,769,45673.0,9614.0,18038.0,3658.0,27.1,33.6,29.1,32.9,27.3,3.0,7.7,6.0,7.6,62.4,21.7,2.3,0.0,33.4,834,87.4,7.7,4.9,0.0,7.7,40.8440703518,-73.90959798989999,Bronx,NY,10453
927,36005022800,Bronx,Bronx,6231,2961,3270,45.4,15.9,24.2,0.0,14.5,3781,45069.0,11303.0,23256.0,3451.0,17.6,32.8,31.2,28.5,23.9,6.6,9.8,15.9,5.1,60.0,11.5,2.6,4.9,44.3,2988,77.3,16.4,6.4,0.0,12.8,40.850854271399996,-73.8652763819,Bronx,NY,10460
928,36005022800,Bronx,Bronx,6231,2961,3270,45.4,15.9,24.2,0.0,14.5,3781,45069.0,11303.0,23256.0,3451.0,17.6,32.8,31.2,28.5,23.9,6.6,9.8,15.9,5.1,60.0,11.5,2.6,4.9,44.3,2988,77.3,16.4,6.4,0.0,12.8,40.8531155779,-73.8621105528,Bronx,NY,10462
929,36005022800,Bronx,Bronx,6231,2961,3270,45.4,15.9,24.2,0.0,14.5,3781,45069.0,11303.0,23256.0,3451.0,17.6,32.8,31.2,28.5,23.9,6.6,9.8,15.9,5.1,60.0,11.5,2.6,4.9,44.3,2988,77.3,16.4,6.4,0.0,12.8,40.8553768844,-73.8621105528,Bronx,NY,10469
930,36005022901,Bronx,Bronx,5568,2681,2887,74.6,1.2,20.0,1.1,1.0,2571,24115.0,6826.0,12778.0,1784.0,36.4,49.3,12.2,39.8,22.2,5.5,20.3,12.6,1.0,63.7,15.3,1.1,6.3,36.3,2145,83.4,8.1,8.5,0.0,16.2,40.8463316583,-73.9064321608,Bronx,NY,10453
931,36005022902,Bronx,Bronx,3386,1364,2022,71.9,2.1,20.8,0.0,0.3,1510,24142.0,7428.0,11642.0,1810.0,34.6,56.4,14.5,43.9,24.1,6.0,11.5,13.8,2.3,64.2,13.5,0.0,6.2,40.3,1361,79.6,7.0,13.4,0.0,19.4,40.8440703518,-73.9064321608,Bronx,NY,10453
932,36005023000,Bronx,Bronx,3334,1595,1739,57.7,22.7,9.6,0.0,9.4,1896,43929.0,19129.0,17638.0,2718.0,23.5,34.8,25.7,24.4,29.4,5.8,14.7,22.3,6.3,63.2,3.8,0.0,4.5,44.0,1420,83.6,12.7,3.7,0.0,15.3,40.8485929648,-73.8652763819,Bronx,NY,10460
933,36005023100,Bronx,Bronx,1594,988,606,63.6,2.8,32.8,0.0,0.0,850,24250.0,15825.0,10136.0,1907.0,42.8,36.8,12.8,37.2,26.3,10.5,13.2,3.8,1.9,82.4,5.1,6.8,0.0,42.1,476,83.2,5.9,10.9,0.0,23.3,40.8463316583,-73.9032663317,Bronx,NY,10457
934,36005023200,Bronx,Bronx,2704,1345,1359,64.6,22.9,2.9,0.0,5.5,1407,44318.0,10356.0,22513.0,4308.0,23.4,30.2,22.4,28.1,27.0,13.0,9.5,33.3,8.4,48.4,7.1,0.5,2.2,46.8,1188,81.9,16.8,1.3,0.0,17.6,40.8463316583,-73.8652763819,Bronx,NY,10460
935,36005023200,Bronx,Bronx,2704,1345,1359,64.6,22.9,2.9,0.0,5.5,1407,44318.0,10356.0,22513.0,4308.0,23.4,30.2,22.4,28.1,27.0,13.0,9.5,33.3,8.4,48.4,7.1,0.5,2.2,46.8,1188,81.9,16.8,1.3,0.0,17.6,40.8463316583,-73.8621105528,Bronx,NY,10462
938,36005023302,Bronx,Bronx,3614,1673,1941,77.1,0.3,21.1,0.0,1.6,1452,22566.0,8178.0,10361.0,2073.0,50.1,63.8,12.7,44.5,22.2,8.2,12.4,5.6,2.5,72.2,11.2,1.0,7.5,44.1,1278,85.1,7.1,7.8,0.0,14.0,40.8485929648,-73.9064321608,Bronx,NY,10453
939,36005023302,Bronx,Bronx,3614,1673,1941,77.1,0.3,21.1,0.0,1.6,1452,22566.0,8178.0,10361.0,2073.0,50.1,63.8,12.7,44.5,22.2,8.2,12.4,5.6,2.5,72.2,11.2,1.0,7.5,44.1,1278,85.1,7.1,7.8,0.0,14.0,40.8485929648,-73.9032663317,Bronx,NY,10457
940,36005023501,Bronx,Bronx,3044,1405,1639,85.0,0.9,12.2,0.0,0.6,1329,27316.0,10692.0,13906.0,2429.0,50.8,76.5,13.0,39.1,25.8,9.8,12.3,21.7,1.8,57.6,9.4,8.1,1.5,37.5,1376,83.6,8.6,6.3,1.4,10.2,40.850854271399996,-73.9064321608,Bronx,NY,10453
941,36005023501,Bronx,Bronx,3044,1405,1639,85.0,0.9,12.2,0.0,0.6,1329,27316.0,10692.0,13906.0,2429.0,50.8,76.5,13.0,39.1,25.8,9.8,12.3,21.7,1.8,57.6,9.4,8.1,1.5,37.5,1376,83.6,8.6,6.3,1.4,10.2,40.8531155779,-73.9032663317,Bronx,NY,10457
