License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Number,Agency Zone Office Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,ZIP,License Certificate Number,License Received Date
2219749,LIQUOR STORE,222,L,2,Albany,BROOME,DANG P NGUYEN,116 LIQUOR AND WINE,116 GLENWOOD AVE,,BINGHAMTON,NY,13790,,11/22/2019
1323638,GROCERY STORE BEER,122,A,1,New York City,QUEENS,BHUTAN CORNER CORP,BHUTAN CORNER,4545 47TH ST,,WOODSIDE,NY,11377,,11/22/2019
1323639,ON-PREMISES LIQUOR,252,OP,1,New York City,BRONX,D'AMIGOS RESTAURANT AND BAR CORP,,12 E GUNHILL RD,,BRONX,NY,10467,,11/22/2019
2219751,FARM BREWER,106,FD,2,Albany,CHENANGO,FORGED BREWING CO LLC,,1732 STATE HWY 41,,BAINBRIDGE,NY,13733,,11/22/2019
1323640,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,GUAJILLO RESTAURANT CORP,,2277 1ST AVE,,NEW YORK,NY,10035,,11/22/2019
3164287,ON-PREMISES LIQUOR,252,OP,3,Buffalo,CATTARAUGUS,VILLAGE GREEN PUB LLC,VILLAGE GREEN PUB ,311 N UNION ST,,OLEAN,NY,14760,,11/25/2019
3164289,ON-PREMISES LIQUOR,252,OP,3,Buffalo,CHEMUNG,SALSA'S MEXICAN RESTAURANT LLC,,70 OLD ITHACA RD,,HORSEHEAD,NY,14845,,11/25/2019
2219755,HOTEL LIQUOR,242,HL,2,Albany,ULSTER,37 ALPINE ROAD PROPERTY LLC ,URBAN COWBOY LODGE ,37 ALPINE RD ,,SHANDAKEN ,NY,12410,,11/25/2019
1323647,"GROCERY CHAIN, BEER ONLY",128,A ,1,New York City,KINGS,TRADER JOES EAST INC,TRADER JOES #548,200 KENT AVE,,BROOKLYN,NY,11249,,11/25/2019
3164295,GROCERY STORE BEER,122,A,3,Buffalo,MONROE,ARCADIA MARKET INC ,,1487 DEWEY AVE ,,ROCHESTER ,NY,14615,,11/25/2019
1323650,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,LM4 INC,,650 FLATBUSH AVE,,BROOKLYN,NY,11225,,11/25/2019
2219757,ON-PREMISES LIQUOR,252,OP,2,Albany,ONONDAGA,CAGO CAFE INC ,CAGO CAFE ,600 BURNET AVE ,,SYRACUSE             ,NY,13203,,11/25/2019
1323652,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,92 RIVINGTON ST INC,M NODDLE SHOP,92 RIVINGTON ST,,NEW YORK,NY,10002,,11/25/2019
3164298,ON-PREMISES LIQUOR,252,OP,3,Buffalo,TIOGA,EK MYERS PATRIOT LLC ,THE PATRIOT BAR AND GRILL ,317 BROAD ST ,,WAVERLY ,NY,14892,,11/25/2019
1323659,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,GALAXY RESTAURANT CORP,EL COFRE RESTAURANT #2,3462 FULTON ST,,BROOKLYN,NY,11208,,11/25/2019
1323662,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,28 NOMAD INC,BARN JOO NOMAD,816 6TH AVE,,NEW YORK,NY,10001,,11/25/2019
2219760,ON-PREMISES LIQUOR,252,OP,2,Albany,DUTCHESS,ANA'S FAMILY RESTAURANT INC,ANA'S FAMILY RESTAURANT,3237 RTE 22,,DOVER PLAINS,NY,12522,,11/25/2019
1323663,GROCERY STORE BEER,122,A,1,New York City,KINGS,688 DELI GROCERY CORP,,684 NOSTRAND AVE,,BROOKLYN,NY,11216,,11/25/2019
2219761,"FARM DISTILLER ""D""",207,DD,2,Albany,DELAWARE,A SPECIAL AFFAIRE LTD,STRICKLAND HOLLOW DISTILLERY,9483 NYS HYW 28,,MERIDALE,NY,13806,,11/25/2019
1323664,MEAD PRODUCER,312,MD,1,New York City,NASSAU,MOTION CRAFT BREWED LLC,,1036B PARK BLVD,,MASSAPEQUA PARK,NY,11762,,11/25/2019
2219762,LIQUOR STORE,222,L,2,Albany,ONEIDA,SPEEDWAY LLC,EXPRESS LIQUOR,826 ORISKANY BLVD,,YORKVILLE,NY,13495,,11/25/2019
