License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Number,Agency Zone Office Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,ZIP,License Certificate Number,License Received Date
2500672,RESTAURANT LIQUOR,241,RL,2,Albany,BROOME,PATRICK F NANNERY,BRASS RAIL GRILL,180 182 CLINTON ST,,BINGHAMTON,NY,13905,881732,01/10/2020
3100397,WINERY / FARM WINERY RETAIL,305,WA,3,Buffalo,STEUBEN,CHATEAU RENAISSANCE INC,CHATEAU RENAISSANCE WINE CELLARS,7494 FISH HATCHERY RD,RENAISSANCE WINE CELLARS,HAMMONDSPORT,NY,14840,914775,01/31/2020
1010820,CLUB LIQUOR,243,CL,1,New York City,KINGS,SWEDISH FOOTBALL CLUB INC,,725 65TH ST,,BROOKLYN,NY,11220,872560,01/16/2020
1017647,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,FOXSCO INC,CANTERBURY ALES OYSTER BAR & GRILL,46 AUDREY AVENUE,,OYSTER BAY,NY,11771,898670,12/18/2019
1025754,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,BALBONA RESTAURANT CORP,SAMS PLACE,132 E 39TH STREET,,NEW YORK,NY,10016,902902,12/19/2019
1028577,RESTAURANT LIQUOR,241,RL,1,New York City,NEW YORK,WAKO INTERNATIONAL CORP,RESTAURANT NIPPON,155 E 52ND STREET,,NEW YORK,NY,10022,902440,01/10/2020
2504842,CLUB LIQUOR,243,CL,2,Albany,ONONDAGA,ROBERT J HYDON POST 239 AMER  LEGION,,3808 JORDAN RD,,SKANEATELES,NY,13152,894298,01/30/2020
3012157,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ONTARIO,WARFIELDS LLC,WARFIELDS,3 COULTER LN,,CLIFTON SPRINGS,NY,14432,913724,12/18/2019
2008496,ON-PREMISES LIQUOR,252,OP,2,Albany,ORANGE,"CAPTAINS TABLE OF MONROE N Y INC,THE",THE CAPTAINS TABLE,547 STATE ROUTE 17M,,MONROE,NY,10950,906571,12/19/2019
2009567,CLUB LIQUOR,243,CL,2,Albany,RENSSELAER,CHARLES WALDRON POST 731 THE,AMERICAN LEGION INC,181 MAIN STREET,,SCHAGHTICOKE,NY,12154,894540,01/10/2020
2009898,SUMMER RESTAURANT LIQUOR,541,SL,2,Albany,RENSSELAER,KAY'S BURDEN LAKE REST INC,,10 WALSH LANE,SECOND DYKE-BURDEN LAKE,AVERILL PARK,NY,12018,914751,12/19/2019
2000603,CLUB LIQUOR,243,CL,2,Albany,ALBANY,VOORHEESVILLE ROD & GUN CLUB INC,,38 FOUNDRY RD,,VOORHEESVILLE,NY,12186,914442,01/16/2020
2013493,ON-PREMISES LIQUOR,252,OP,2,Albany,ULSTER,DISCLAFANI-DORN CORP,THE CATSKILL ROSE,5355 ROUTE 212   T/O SHANDAKEN,,MOUNT TREMPER,NY,12457,914360,01/16/2020
3014214,RESTAURANT WINE,341,RW,3,Buffalo,WYOMING,LAURIES RESTAURANT INC,,46 N MAIN ST,,WARSAW,NY,14569,840135,11/08/2019
3014256,CLUB LIQUOR,243,CL,3,Buffalo,YATES,PENN YAN LODGE 1722 B P O E,,133 35 MAIN ST  ,,PENN YAN,NY,14527,909373,11/22/2019
3104795,ON-PREMISES LIQUOR,252,OP,3,Buffalo,CHAUTAUQUA,KOSCIUSZKO POLISH HOME ASSN INC,,252 NEVINS ST,,DUNKIRK,NY,14048,893173,01/09/2020
1109058,HOTEL LIQUOR,242,HL,1,New York City,NEW YORK,B D C 56 LLC & FELICE CHAMBERS LLC,CHAMBERS HOTEL,13 15 WEST 56TH STREET,,NEW YORK,NY,10019,897362,12/13/2019
3125963,GROCERY STORE BEER,122,A,3,Buffalo,STEUBEN,JAKES BOAT LIVERY LLC,JAKES BOAT LIVERY,12792 W LAKE ROAD ,,HAMMONDSPORT,NY,14840,924178,11/05/2019
1189562,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,39 ST MARKS INC,PAPER DAISY,41 ST MARKS PLACE,2ND AVENUE & 1ST AVENUE,NEW YORK,NY,10003,909695,12/05/2019
2144718,CLUB LIQUOR,243,CL,2,Albany,CLINTON,SARANAC AMERICAN LEGION POST 1618 INC,SARANAC AMERICAN LEGION ,275 WILSON RD,,SARANAC,NY,12981,900864,12/18/2019
3142069,ON-PREMISES LIQUOR,252,OP,3,Buffalo,TIOGA,"DENNIS A ROSE, DEBRA LEE EIKLOR",PUNKS PLACE,21 MILL ST,,CANDOR,NY,13743,897375,12/05/2019
1232070,HOTEL LIQUOR,242,HL,1,New York City,NEW YORK,"W 27 HIGHLINE OWNER LLC,W 27 HIGHLINE OPERATOR, & ",HABITA WORLD LLC/ DBA:HOTEL AMERICANO,516 518 W 27TH ST,,NEW YORK,NY,10001,909528,01/02/2020
1241602,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,GLORIOUS DEEP LLC THE,PEARLS SOCIAL & BILLY CLUB,40 ST NICHOLAS AVENUE,COR OF ST NICHOLAS & STARR ST,BROOKLYN,NY,11237,910683,12/09/2019
1243517,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,SILKSTONEONE LLC,THE FAT RADISH,17 ORCHARD ST,,NEW YORK,NY,10002,897767,12/09/2019
1247333,WHOLESALE LIQUOR,203,LL,1,New York City,SUFFOLK,FAROPIAN SPIRIT LTD,,98A KEAN STREET,,WEST BABYLON,NY,11704,887631,01/24/2020
1258366,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,BARNEYS INC,BARNEYS NEW YORK,660 MADISON AVE 8TH FL ,,NEW YORK,NY,10065,914639,01/07/2020
2185159,ON-PREMISES LIQUOR,252,OP,2,Albany,WARREN,99 WEST LLC,99 RESTAURANT ,578 AVIATION RD,,QUEENSBURY,NY,12804,893466,11/08/2019
1270256,WHOLESALE BEER(C),103,C,1,New York City,BRONX,MANHATTAN BEER DISTRIBUTORS LLC, ,955 E 149TH ST,,BRONX,NY,10455,920137,11/05/2019
2190825,GROCERY STORE BEER,122,A,2,Albany,ALBANY,HONEST WEIGHT FOOD COOPERATIVE INC,,100 WATERVLIET AVE,,ALBANY               ,NY,12206,921408,01/09/2020
1278879,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,SONEROS BAR RESTAURANT INC,SONEROS NIGHT CLUB BAR,92 02 CORONA AVE,,ELMHURST,NY,11373,900053,11/22/2019
1324521,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,V & A STEAKHOUSE LLC ,PANORAMA STEAKHOUSE ,2402 86TH ST ,,BROOKLYN ,NY,11214,,01/03/2020
1289444,EATING PLACE BEER,141,EB,1,New York City,NEW YORK,MILK AND HOPS 2 LLC,,164 9TH AVE,STORE 2,NEW YORK,NY,10011,911118,11/22/2019
1290136,WHOLESALE BEER(CO),105,CO,1,New York City,NEW YORK,SAPPORO USA INC,UNIBREW USA,19 W 44TH ST ,STE 1410,NEW YORK,NY,10036,915165,12/18/2019
1290206,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,KAI FISH MARKET INC,,102-23 HORACE HARDING EXP,,CORONA,NY,11368,912519,01/09/2020
1297745,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,"MASPETH PIZZA HOUSE INC, THE",LIVE AT THE MASPETH PIZZA HOUSE ,55-60 60TH ST,STORE # 3,MASPETH,NY,11378,904008,12/05/2019
1324523,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,MILU NYC LLC,MILU,333 PARK AVE S,STORE 7,NEW YORK,NY,10010,,01/03/2020
2207716,RESTAURANT WINE,341,RW,2,Albany,ESSEX,LIBBY'S BAKERY CAFE LLC,LIBBY'S BAKERY CAFE,92 MONTCALM ST,,TICONDEROGA ,NY,12883,840091,01/09/2020
2207981,SUMMER TAVERN WINE,348,TS,2,Albany,ESSEX,"DEPOT THEATRE INC, THE",,6705 MAIN ST ,NOT FOR PROFIT,WESTPORT,NY,12993,914191,10/29/2019
1302830,RESTAURANT BREWER,210,MR,1,New York City,KINGS,158 BEARD STREET BREWING INC,NARROW WATER BREWING,158 BEARD ST,,BROOKLYN,NY,11231,923078,11/22/2019
1304565,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,RED HOUSE BK LLC,KINGS COUNTY IMPERIAL,22 SKILLMAN AVE ,,BROOKLYN,NY,11211,910605,11/04/2019
2219304,ON-PREMISES LIQUOR,252,OP,2,Albany,ALBANY,220 REMSEN STREET LLC,ANTHONYS ITALIAN RESTAURANT,220 REMSEN ST,,COHOES,NY,12047,,10/25/2019
1305738,ON-PREMISES LIQUOR,252,OP,1,New York City,BRONX,1267 LRM CORPORATION,EL CALDERO RESTAURANT & SPORTS BAR,1267 JEROME AVE,STORE #1 & 2,BRONX,NY,10452,914492,12/19/2019
1306329,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,LEGENDARY RESTAURANT LLC,BARITO,201 MAIN ST ,2ND FL,PORT JEFFERSON,NY,11777,914579,11/22/2019
1308029,LIQUOR STORE,222,L,1,New York City,KINGS,LE COURTIER INC,MOORE BROTHERS WINE COMPANY,67 35TH ST,,BROOKLYN,NY,11232,882923,01/16/2020
2212652,FARM BREWER,106,FD,2,Albany,ALBANY,4TH GEAR FARM & BREWERY LLC,5TH GEAR BEER,362 VLY RD,,NISKAYUNA,NY,12309,923119,01/09/2020
2219306,ON-PREMISES LIQUOR,252,OP,2,Albany,ONONDAGA,LAMONT TAVERN TOO INC,,108 LAMONT AVE,,SOLVAY,NY,13209,,10/25/2019
1313689,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,ST TROPEZ SOHO LLC,ST TROPEZ SOHO,194 196 SPRING ST,,NEW YORK,NY,10012,836161,01/16/2020
1313825,ON-PREMISES LIQUOR,252,OP,1,New York City,WESTCHESTER,SSE RESTAURANT LLC,SAPORI,2 CHASE RD,GROUND FLOOR STORE 12,SCARSDALE,NY,10583,888515,11/14/2019
1314670,MICRO BREWER,101,MI,1,New York City,KINGS,FINBACK BROOKLYN LLC,,545 PRESIDENT ST,,BROOKLYN,NY,11215,999999,01/27/2020
1314671,FARM BREWER,106,FD,1,New York City,KINGS,FINBACK BROOKLYN LLC,,545 PRESIDENT ST,,BROOKLYN,NY,11215,999999,01/27/2020
2214953,WINERY,301,DW,2,Albany,ULSTER,UNCOUTH VERMOUTH INCORPORATED,,82 POTTER HILL RD,,SAUGERTIES,NY,12477,923164,01/29/2020
1315107,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,FOREST DELI NY CORP,FOREST DELI GROCERY,782 E 163RD ST,,BRONX,NY,10456,,12/18/2019
1315331,GROCERY STORE BEER,122,A,1,New York City,WESTCHESTER,M&X LINDEN GROCERY CORP,,189 LINDEN ST,,YONKERS              ,NY,10701,,11/08/2019
2215140,ON-PREMISES LIQUOR,252,OP,2,Albany,ORANGE,JORGE'S KITCHEN LLC,,34 SMITH CLOVE RD,,CENTRAL VALLEY,NY,10917,910786,12/05/2019
1316133,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,LA MORENA MEXICAN GRILL INC,LA MORENA MEXICAN GRILL,380A LARKFIELD RD,,E NORTHPORT,NY,11731,,12/09/2019
1316136,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,GENESIS DELI CORP,,984 JENNINGS ST,,BRONX,NY,10460,,11/15/2019
1317084,LIQUOR STORE,222,L,1,New York City,NASSAU,WINE.COM LLC,,753 SUMMA AVE,,WESTBURY,NY,11590,,01/15/2020
1317093,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,TAP BEER PLUS INC,TAP BEER,1654 E 15TH ST,,BROOKLYN,NY,11229,904712,10/31/2019
2216226,ON-PREMISES LIQUOR,252,OP,2,Albany,ULSTER,CHARLEIGH SALOON LLC,,180 VINEYARD AVE,,HIGHLAND,NY,12528,,12/20/2019
1317208,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,JRI URBAN CORP,LOT 203 KITCHEN,3775 10TH AVE ,STORE 5,NEW YORK,NY,10034,,10/31/2019
1317298,HOTEL LIQUOR,242,HL,1,New York City,NEW YORK,LAM GEN 25 LLC,RENAISSANCE NEW YORK CHELSEA HOTEL,112 W 25TH ST,,NEW YORK,NY,10001,889827,11/05/2019
1317619,RESTAURANT WINE,341,RW,1,New York City,QUEENS,SPIN CITY BILLIARDS INC,NEW CITY BILLIARDS & CAFE ,43-12 50TH ST,,WOODSIDE,NY,11377,,12/03/2019
1317693,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,S&J FOOD SERVICES INC,,220 WATERSIDE RD,,NORTHPORT,NY,11768,,11/05/2019
1317695,GROCERY STORE BEER,122,A,1,New York City,NASSAU,ANTOJITOS SALVADORENOS INC,,648 UNION AVE,,WESTBURY,NY,11590,,11/29/2019
2216599,ON-PREMISES LIQUOR,252,OP,2,Albany,ROCKLAND,HUDSON'S MILL INC,,55 W RAILROAD AVE,BLDG 19,GARNERVILLE,NY,10923,,11/18/2019
1317840,RESTAURANT WINE,341,RW,1,New York City,KINGS,SAUCED ROOSTER LLC,,331 BEDFORD AVE,,BROOKLYN,NY,11211,831003,11/05/2019
2216679,LIQUOR STORE,222,L,2,Albany,RENSSELAER,HOMETOWN LIQUORS INC,HOMETOWN WINE AND SPIRITS,19 ALBANY AVE,,NASSAU,NY,12123,,01/15/2020
1317915,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,ORIENTAL BOULEVARD 111 FOOD CORP,111,111 ORIENTAL BLVD,,BROOKLYN,NY,11235,,11/08/2019
1317972,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,SUPER STARLIN DELI CORP,,172 SCHENECTADY AVE ,,BROOKLYN,NY,11213,,12/03/2019
1318067,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,DHAKA INC,HUSH,70-10 GRAND AVE,,MASPETH,NY,11378,,12/09/2019
1318358,LIQUOR STORE,222,L,1,New York City,NASSAU,HEMPSTEAD WINE & SPIRITS INC,,2230 HEMPSTEAD TPKE,,EAST MEADOW,NY,11554,,01/29/2020
1318388,MASTER FOLDER STATUS RECORD,,AM,1,New York City,NASSAU,SMASHBURGER ACQUISITION LONG ISLAND LLC,SMASHBURGER,1221A 1223 WANTAGH AVE,,WANTAGH,NY,,,01/24/2020
1318547,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,SANTA ANA RESTAURANT Y TAQUERIA CORP,,187 IRVING AVE,,BROOKLYN,NY,11237,,01/10/2020
1318552,TAVERN WINE,344,TW,1,New York City,KINGS,LILI AND CATA LLC,,72 GREENPOINT AVE,,BROOKLYN,NY,11222,,12/05/2019
1318554,"DRUG BEER, WINE PROD",121,DX,1,New York City,BRONX,TRANSFORM KM LLC,KMART,1998 BRUCKNER BLVD,,BRONX,NY,10473,,01/30/2020
1318572,"DRUG CHAIN, WINE PROD ",126,DX,1,New York City,NEW YORK,TRANSFORM KM LLC,KMART,770 BROADWAY,,NEW YORK,NY,10003,,01/30/2020
1318578,"DRUG CHAIN, WINE PROD ",126,DX,1,New York City,NEW YORK,TRANSFORM KM LLC,KMART,250 W 34TH ST,,NEW YORK,NY,10119,,01/30/2020
3162961,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,MONROE,CONVENIENT MART & DELI 1143 LLC,,751 FETZNER RD,,ROCHESTER            ,NY,14626,916276,12/09/2019
3162964,FARM BREWER,106,FD,3,Buffalo,SENECA,FINGER LAKES KOMBUCHA COMPANY LLC,FALL STREET BREWING COMPANY,106 FALL ST,,SENECA FALLS,NY,13148,916238,12/18/2019
2217170,MICRO BREWER,101,MI,2,Albany,ONEIDA,WOODLAND HOP FARM AND FERMENTATION LLC,,6002 TRENTON RD,,UTICA                ,NY,13502,999999,01/14/2020
2217171,COMBINED CRAFT MANUFACTURER,110,CM,2,Albany,ONEIDA,WOODLAND HOP FARM AND FERMENTATION LLC,,6002 TRENTON RD,,UTICA                ,NY,13502,795693,01/14/2020
1318698,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,AC GMG LLC,TEDDY'S F-B,2171 2ND AVE,,NEW YORK,NY,10029,,12/09/2019
2217177,HOTEL LIQUOR,242,HL,2,Albany,ULSTER,SELINA OPERATION WOODSTOCK LLC,SELINA WOODSTOCK,20 COUNTRY CLUB LN,,WOODSTOCK,NY,12498,,01/08/2020
1318713,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,1390 DELI GROCERY CORP,,1390 BOSTON RD,,BRONX,NY,10456,,01/16/2020
1318774,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,DSA PHASE 1 BEER HALL LLC,,115 DELANCEY ST,,NEW YORK,NY,10002,,11/08/2019
1318852,ON-PREMISES LIQUOR,252,OP,1,New York City,BRONX,SIGO SIENDO EL REY CORP,,260 BROOK AVE,,BRONX,NY,10454,,01/22/2020
1318891,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,FLOR DELI GROCERY CORP,,578 LIVONIA AVE,,BROOKLYN,NY,11207,,12/20/2019
2217343,ON-PREMISES LIQUOR,252,OP,2,Albany,ONEIDA,FIVE POINTS HOSPITALITY INCORPORATED,FIVE POINTS PUBLIC HOUSE,623 COLUMBIA ST,,UTICA                ,NY,13502,,01/28/2020
1319132,RESTAURANT WINE,341,RW,1,New York City,QUEENS,KING CRAB HOUSE INC,,135-11 40TH RD,,FLUSHING,NY,11354,,01/14/2020
1319165,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NASSAU,ONE STOP INC NY,,756 MAIN ST,,FARMINGDALE,NY,11735,,01/29/2020
1323729,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,CMZ INC,THE ATTIC,136-93 37TH AVE ,,FLUSHING,NY,11354,,11/29/2019
3163190,ON-PREMISES LIQUOR,252,OP,3,Buffalo,CATTARAUGUS,NEW WAVERLY LLC THE ,THE WAVERLY INN ,9125 OTTO-EAST OTTO ROAD ,,OTTO,NY,14766,,01/16/2020
2217494,"GROCERY BEER, WINE PROD",122,AX,2,Albany,ALBANY,MINI MARKET LOS PRIMOS INC,,57 CENTRAL AVE,,ALBANY               ,NY,12206,,12/24/2019
2217509,LIQUOR STORE,222,L,2,Albany,DUTCHESS,KYLE TRADING GROUP LLC,VASSAR WINES AND SPIRITS,40 VASSAR ROAD,,POUGHKEEPSIE,NY,12603,,01/24/2020
1319351,ON-PREMISES LIQUOR,252,OP,1,New York City,WESTCHESTER,"AMERICAN BAR AND RESTAURANT LLC, THE",,25 WILLETT AVENUE,,PORT CHESTER,NY,10573,,01/02/2020
2217616,ON-PREMISES LIQUOR,252,OP,2,Albany,ORANGE,FUENTES WOOD FIRE PIZZA & ITALIAN RESTAURANT INC,FUENTES WOOD FIRE PIZZA & ITALIAN RESTAURANT ,400 RTE 211E ,SPACE #15,MIDDLETOWN ,NY,10940,,01/24/2020
3163345,"GROCERY CHAIN, WINE PROD",128,AX,3,Buffalo,ERIE,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35161A,737 KENMORE AVE,,TONAWANDA,NY,14223,916216,11/26/2019
3163360,"GROCERY CHAIN, WINE PROD",128,AX,3,Buffalo,NIAGARA,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35172A,9101 NIAGARA FALLS BLVD,,NIAGARA FALLS        ,NY,14304,916206,11/26/2019
1319505,GROCERY STORE BEER,122,A,1,New York City,NASSAU,EL PADRINO DELI CORP,,589 NASSAU RD,,UNIONDALE,NY,11553,,01/24/2020
2217734,ON-PREMISES LIQUOR,252,OP,2,Albany,CLINTON,MICKEY'S RESTAURANT & LOUNGE LLC,,26 RILEY AVE,,PLATTSBURGH,NY,12901,910790,12/18/2019
2217912,ON-PREMISES LIQUOR,252,OP,2,Albany,COLUMBIA,HIGH FALLS PIZZERIA & TAP HOUSE LLC ,HIGH FALLS PIZZERIA & TAP HOUSE ,94 MAIN ST ,,PHILMONT ,NY,12565,,01/14/2020
2218001,ON-PREMISES LIQUOR,252,OP,2,Albany,ORANGE,HOAGIE BARMICHAELS INC ,,1101 RIVER RD ,,NEW WINDSOR ,NY,12553,,01/28/2020
1320311,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,BUSHWICK DELI INC I,,1449 MYRTLE AVE,,BROOKLYN,NY,11237,904720,11/05/2019
1320751,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,AMEEN DELI CORP,,1776 AMSTERDAM AVE,,NEW YORK,NY,10031,,10/31/2019
1320758,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,MANNYS DETOX JUICE BAR AND GRILL CORP,,116 GRAHAM AVE,,BROOKLYN,NY,11206,,01/06/2020
1320863,ON-PREMISES LIQUOR,252,OP,1,New York City,WESTCHESTER,MEXICO ALEGRE RESTAURANT CORP ,,741 MAIN ST ,,NEW ROCHELLE ,NY,10801,,11/22/2019
2219307,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,UTOPIA WINES LLC,,19980 NE RIBBON RIDGE RD,,NEWBERG ,OR,97132,917856,10/25/2019
2218748,ON-PREMISES LIQUOR,252,OP,2,Albany,ONONDAGA,CAMILLUS HILLS GOLF CLUB INC,,5690 BENNETTS CORNERS RD,,CAMILLUS,NY,13031,,12/05/2019
3163822,ON-PREMISES LIQUOR,252,OP,3,Buffalo,MONROE,HONEOYE FALLS DISTILLERY LLC,,168 W MAIN ST,,HONEOYE FALLS,NY,14472,,11/08/2019
3163854,ON-PREMISES LIQUOR,252,OP,3,Buffalo,CHEMUNG,O'BRIENS BAR & LOUNGE INC,,33 COUNTY RTE 60,,WAVERLY,NY,14892,,11/01/2019
1321572,TAVERN WINE,344,TW,1,New York City,NASSAU,WEST EGG HOSPITALITY LLC,TACO BAY,80 SOUTH ST,STE 100,OYSTER BAY,NY,11771,,10/31/2019
1321601,RESTAURANT WINE,341,RW,1,New York City,QUEENS,SHAN FENG HOUSE INC ,GOOD HARVEST ,133-42 39TH AVE ,,FLUSHING ,NY,11354,,01/02/2020
3163875,RESTAURANT WINE,341,RW,3,Buffalo,MONROE,SCARPINOS ITALIAN GRILL LLC,,525 E RIDGE RD,,ROCHESTER            ,NY,14621,,11/07/2019
2219033,RESTAURANT WINE,341,RW,2,Albany,ESSEX,GIUSEPPES OF KEESEVILLE INC,,1711 FRONT ST,,KEESEVILLE,NY,12944,,10/31/2019
2219075,RESTAURANT WINE,341,RW,2,Albany,GREENE,CASA NEAPOLIS LLC,,5330 STATE RTE 23,,WINDHAM,NY,12496,,10/31/2019
1322195,RESTAURANT WINE,341,RW,1,New York City,QUEENS,TIBETAN JAPANESE RESTAURANT NY LLC,TIBETAN JAPANESE RESTAURANT,7526 37TH AVE,,JACKSON HEIGHTS,NY,11372,,12/17/2019
1322212,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,IN THURSDAY NAMU LLC,MOKYO,109 ST MARKS PL,,NEW YORK,NY,10009,,11/07/2019
2219149,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,SOCIAL ENJOYMENTS LLC,,219 N RED RIVER AVE ,,COLD SPRING,MN,56320,,01/14/2020
1322609,ON-PREMISES LIQUOR,252,OP,1,New York City,WESTCHESTER,DR CAFE INC,,275 S BROADWAY,,YONKERS              ,NY,10705,,11/22/2019
1322635,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,"CLEAVER COMPANY INC, THE",THE GREEN BOTTLE,257 COLUMBIA ST,,BROOKLYN,NY,11231,,12/17/2019
2219286,HOTEL WINE,342,HW,2,Albany,WARREN,ADK GATEWAY DEVELOPMENT LLC ,FAIRFIELD INN AND SUITES ,21 BIG BOOM RD ,,QUEENSBURY ,NY,12801,,01/02/2020
2219308,ON-PREMISES LIQUOR,252,OP,2,Albany,ESSEX,SOL DE ORO LAKE PLACID LLC,SOL DE ORO SEAFOOD BAR & STEAKHOUSE,2617 MAIN ST ,,LAKE PLACID,NY,12946,,11/22/2019
1322693,"GROCERY CHAIN, WINE PROD",128,AX,1,New York City,SUFFOLK,BOLLA OPERATING L I CORP,BOLLA 3239 SUNRISE C-STORE,3239 SUNRISE HWY,,ISLIP TERRACE,NY,11752,,10/25/2019
3164069,ON-PREMISES LIQUOR,252,OP,3,Buffalo,STEUBEN,DELS BAR & GRILL LLC,ERWINNA TAVERN,810 ADDISON RD,,PAINTED POST,NY,14870,,10/25/2019
3164072,EATING PLACE BEER,141,EB,3,Buffalo,ERIE,DOTTIES DELI INC,,300 KENMORE AVE,,BUFFALO              ,NY,14223,,10/25/2019
3164075,LIQUOR STORE,222,L,3,Buffalo,CHEMUNG,FRANK A CICCI JR,CICCI'S WINE & SPIRITS,1331 COLLEGE AVE,,ELMIRA,NY,14901,,10/25/2019
3164076,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ONTARIO,EL JIMADOR INC,EL JIMADOR,1470 NY 332,,FARMINGTON,NY,14425,,10/25/2019
1322706,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,GUERLAIN DELI GROCERY CORP ,,1880 GUERLAIN ST ,,BRONX ,NY,10462,,10/25/2019
1322707,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,AVS INTERNATIONAL RETAIL INC & LIVE AXE INC,LIVE AXE,96 LAFAYETTE ST,,NEW YORK,NY,10013,,10/25/2019
3164078,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ERIE,TONIS DELI INC,,5490 LAKE AVE,SUITE 1,ORCHARD PARK,NY,14127,,10/25/2019
1322709,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,GRAND STREET FOOD & WINE LLC & NIGHT MOVES BAR LLC,THE FOUR HORSEMEN; NIGHT MOVES; DAY MOVES ,295 GRAND ST ,SOUTHERN STORE,BROOKLYN ,NY,112211,,10/25/2019
2219319,ON-PREMISES LIQUOR,252,OP,2,Albany,DELAWARE,CLUB55  OF SIDNEY LLC,,55 UNION ST,,SIDNEY,NY,13838,,10/25/2019
1322711,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,573 HAUPPAUGE INC ,FELT ,573 NESCONSET HWY ,,HAUPPAUGE ,NY,11788,,10/25/2019
1322714,LIQUOR STORE,222,L,1,New York City,QUEENS,OZONE PARK WINE & LIQUOR INC,,124-04 ROCKAWAY BLVD,,SOUTH OZONE PARK,NY,11420,,10/25/2019
1322717,"GROCERY BEER, WINE PROD",122,AX,1,New York City,WESTCHESTER,ANELIS DELI CORP ,,497 VAN CORTLAND PARK AVE ,,YONKERS ,NY,10705,,10/25/2019
1322719,LIQUOR STORE,222,L,1,New York City,QUEENS,MLOT INC,,88-08/10 37TH AVE,,JACKSON HEIGHTS,NY,11372,,10/25/2019
1322721,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,BRANZINOS INC ,,315 WALT WHITMAN RD ,1ST FL RESTAURANT ,HUNTINGTON STATION ,NY,11746,,10/25/2019
1322723,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,EL AZTECA Y EL GUANACO REST CORP,,4195 BROADWAY ,,NEW YORK,NY,10033,,10/25/2019
1322725,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,BEERLOGA INC ,,1307 AVE Z ,,BROOKLYN ,NY,11235,,10/25/2019
2219322,ON-PREMISES LIQUOR,252,OP,2,Albany,ESSEX,CAFFE RUSTICA LLC,,1936 SARANAC AVE,,LAKE PLACID,NY,12946,,10/25/2019
1322726,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,OCEAN FOODS NY INC,PRIME MEAT ROKKO,783 9TH AVE,,NEW YORK,NY,10019,,10/25/2019
