,address,city,state,zip,country,lat,lng,Is_Walmart,Is_Walgreens,Is_Target,Is_CVS,Is_Rite,Is_SuperStopnShop
3113,291 Willow Grove Rd,Stony Point,NY,10980,US,41.220703,-74.016603,0,1,0,1,1,0
3115,875 3rd Ave,New York,NY,10022,US,40.757363,-73.96963199999999,0,1,0,1,0,0
3116,410 Wheeler Rd,Hauppauge,NY,11788,US,40.809585,-73.217303,0,0,0,0,1,0
3117,18711 Jamaica Ave,Jamaica,NY,11423,US,40.710487,-73.772013,0,0,0,0,0,0
3118,286 Express Drive South,Medford,NY,11763,US,40.82314,-72.99813,0,1,1,1,1,1
3120,843 East 149th St,Bronx,NY,10455,US,40.81245,-73.90478,0,1,0,0,1,0
3121,26 Burnside Ave,Bronx,NY,10453,US,40.853711,-73.90868499999999,0,0,0,0,1,0
3123,3775 Expressway Dr N,Ronkonkoma,NY,11779,US,40.81054,-73.15843000000001,0,0,0,1,1,1
3129,873 Holt Rd,Webster,NY,14580,US,43.216561,-77.447273,1,1,1,1,1,0
3133,10 Center Dr,Central Valley,NY,10917,US,41.314403999999996,-74.135098,0,0,0,0,0,0
3153,2241 Southern Blvd,Bronx,NY,10458,US,40.849231,-73.883549,0,1,0,0,1,0
3156,601 2nd Ave,New York,NY,10016,US,40.744015000000005,-73.976546,0,1,0,1,1,0
3158,1530 Route 9,Clifton Park,NY,12065,US,42.84255,-73.747425,1,1,1,1,1,0
3171,1815 Avenue U,Brooklyn,NY,11229,US,40.599318,-73.952901,0,1,0,1,1,0
3173,1650 Bruckner Blvd,Bronx,NY,10473,US,40.823475,-73.873938,0,0,0,0,1,0
3174,113 Albany Post Rd,Buchanan,NY,10511,US,41.257721000000004,-73.93422199999999,0,0,0,0,0,0
3179,111a Independant Way,Brewster,NY,10509,US,41.421329,-73.629637,0,0,0,0,1,0
3180,66 Lafayette Ave,Suffern,NY,10901,US,41.115777,-74.151927,1,1,0,1,0,0
3182,2222 Forest Ave,Staten Island,NY,10303,US,40.626583000000004,-74.163771,0,1,0,1,0,0
3186,1710 Eastern Pkwy,Brooklyn,NY,11223,US,40.672649,-73.91196,0,1,0,0,1,0
3188,4744 State Route 7,Hoosick Falls,NY,12090,US,42.853361,-73.345105,0,0,0,0,1,0
3189,1630 Madison Ave,New York,NY,10029,US,40.7953,-73.9483,0,0,0,1,1,0
3192,422 Washington Ave,Peekskill,NY,10566,US,41.281835,-73.926234,0,0,0,1,1,0
3194,94 Croton Ave,Ossining,NY,10562,US,41.165927,-73.85633399999999,0,0,0,1,0,0
3195,906 Coney Island Ave,Brooklyn,NY,11218,US,40.63535,-73.96802,0,1,0,1,1,0
3203,81 Knollwood Rd,White Plains,NY,10607,US,41.038685,-73.80843399999999,0,0,0,1,0,0
3205,154 Westchester Ave,White Plains,NY,10601,US,41.032617,-73.756986,1,0,1,1,0,1
3214,125 Portion Rd,Ronkonkoma,NY,11779,US,40.826782,-73.109207,0,0,0,1,1,1
3216,138 Ulster Ave,Saugerties,NY,12477,US,42.08016,-73.959486,0,0,0,1,1,0
3218,365 Dix Avenue,Queensbury,NY,12804,US,43.315713,-73.609724,1,0,1,1,1,0
3232,43 Jamaica Ave,Brooklyn,NY,11207,US,40.678124,-73.898267,0,0,0,0,1,0
3233,1993 Atlantic Ave,Brooklyn,NY,11233,US,40.676879,-73.916084,0,0,0,0,1,0
3236,289 7th Ave,New York,NY,10001,US,40.746216,-73.99399100000001,0,0,0,1,1,0
3245,4521 3rd Ave,Bronx,NY,10457,US,40.853775,-73.891418,0,0,0,0,1,0
3250,1201 Deer Park Ave,North Babylon,NY,11703,US,40.736803,-73.319938,0,0,0,1,1,0
3251,3804 Junction Blvd,Corona,NY,11368,US,40.749488,-73.869754,0,1,0,0,1,0
3253,6390 Amboy Rd,Staten Island,NY,10309,US,40.521733000000005,-74.216854,0,0,1,1,0,0
3265,38 W. Dyke St.,Wellsville,NY,14895,US,42.116872,-77.94111099999999,0,1,0,0,1,0
3286,270 Route 59,Suffern,NY,10901,US,41.112331,-74.10427800000001,1,1,0,1,0,0
3288,5702 2nd Ave,Brooklyn,NY,11220,US,40.64516,-74.02135,0,0,0,0,1,0
3290,110 West 145th St,New York,NY,10039,US,40.820803000000005,-73.937373,0,0,0,0,0,0
3291,250 E Houston St,New York,NY,10002,US,40.721895,-73.984735,0,0,0,1,1,0
3294,2500 Albany St,Schenectady,NY,12304,US,42.783957,-73.913143,0,0,1,1,1,0
3297,7519 5th Avenue,Brooklyn,NY,11209,US,40.628842999999996,-74.02279300000001,0,1,0,0,1,0
3299,200 E Main St,Huntington,NY,11743,US,40.880779,-73.396964,0,0,0,1,1,0
3300,11602 Metropolitan Ave,Richmond Hill,NY,11418,US,40.70746,-73.83623,0,0,0,0,0,0
3304,749 Hoosick Rd,Troy,NY,12180,US,42.746076,-73.641685,1,1,0,1,1,0
3306,3366 Rt. 9H,Valatie,NY,12184,US,42.427347,-73.688449,0,0,0,1,0,0
3309,105 West 125th Street,New York,NY,10027,US,40.808023999999996,-73.945751,0,0,0,1,1,0
3312,1467 Nostrand Ave,Brooklyn,NY,11226,US,40.65038,-73.94941999999999,0,1,0,1,1,0
3313,17 Flatbush Ave,Brooklyn,NY,11217,US,40.68817,-73.98056,0,1,1,0,0,0
3314,30 Rockefeller Ctr,New York,NY,10112,US,40.759305,-73.981448,0,0,0,0,0,0
3315,680 Arthur Kill Rd,Staten Island,NY,10308,US,40.560203,-74.163601,0,0,0,1,0,0
3332,1299 Saratoga Rd,Gansevoort,NY,12831,US,43.242379,-73.682874,0,0,0,1,0,0
3337,1802 Penfield Rd,Penfield,NY,14526,US,43.129332,-77.47778100000001,0,0,0,1,1,0
3346,97 Stuyvesant Pl,Staten Island,NY,10301,US,40.643685,-74.07736899999999,0,0,0,0,1,0
3355,5696 S. Transit Rd,Lockport,NY,14094,US,43.148502,-78.697343,1,1,0,0,1,0
3356,265 East Jericho Tpk,Mineola,NY,11501,US,40.75485,-73.6249,0,1,0,1,1,0
3359,5901 Church Avenue,Brooklyn,NY,11203,US,40.65274,-73.921715,0,1,0,0,1,0
3367,2295 Hempstead Tpke,East Meadow,NY,11554,US,40.72531,-73.55028,1,1,0,1,1,0
3386,207 W. Merrick Rd,Valley Stream,NY,11580,US,40.667902000000005,-73.70525699999999,0,0,0,1,1,0
3390,597 Hicksville Rd,Bethpage,NY,11714,US,40.74105,-73.49642,0,1,0,1,1,0
3391,269 8th Ave,New York,NY,10011,US,40.745665,-73.998365,0,0,0,1,1,0
3392,680 Route 9,Fishkill,NY,12524,US,41.534167,-73.897462,1,0,0,1,0,0
3393,640 Conduit Blvd,Brooklyn,NY,11208,US,40.67528,-73.86582,0,0,0,0,0,0
3398,167 West Main St,Victor,NY,14564,US,42.984768,-77.41485,1,0,1,0,1,0
3406,6122 Fresh Pond Rd,Middle Village,NY,11379,US,40.71382,-73.9012,0,1,0,1,0,0
3407,13328 Springfield Blvd,Jamaica,NY,11413,US,40.680506,-73.753289,0,1,0,0,0,0
3410,731 Nesconset Hwy,Smithtown,NY,11787,US,40.848499,-73.166809,0,1,0,1,1,0
3411,239 Beach 20th St,Far Rockaway,NY,11691,US,40.596555,-73.754616,0,0,0,1,0,0
3417,2200 Sheridan Dr,Tonawanda,NY,14223,US,42.98103,-78.85276999999999,0,0,0,1,1,0
3424,6667 Fresh Pond Rd,Fresh Pond,NY,11385,US,40.706958,-73.896997,0,0,0,1,1,0
3429,25609 Union Turnpike,Glen Oaks,NY,11004,US,40.74566,-73.71477,0,0,0,1,1,0
3431,2302 Knapp St # 2310,Brooklyn,NY,11229,US,40.596574,-73.933584,0,1,0,1,1,0
3432,1760 2nd Ave,New York,NY,10128,US,40.781240000000004,-73.94915999999999,0,0,0,1,1,0
3434,5951 Queens Midtown Expy,Maspeth,NY,11378,US,40.72701,-73.90678199999999,0,0,0,1,0,0
3436,203 Lake St,Penn Yan,NY,14527,US,42.65648,-77.056062,0,1,0,1,1,0
3437,1792 Columbia Tpke,Schodack,NY,12033,US,42.551489000000004,-73.674356,0,0,0,0,1,0
3440,95 Miller Rd,Castleton On Hudson,NY,12033,US,42.579665999999996,-73.68086600000001,0,0,0,0,1,0
3441,1231 State Route 31,Macedon,NY,14502,US,43.064737,-77.31878,1,0,0,1,0,0
3454,795 East Jericho Tpk,Huntington Station,NY,11746,US,40.83475,-73.38223,0,1,0,1,1,0
3457,1691 East Ave,Rochester,NY,14610,US,43.146112,-77.559997,0,0,0,0,0,0
3476,587 Old Country Rd,Plainview,NY,11803,US,40.770852000000005,-73.49438,0,0,0,1,1,0
3480,511 E. 163rd St,Bronx,NY,10451,US,40.824457,-73.90923199999999,0,0,1,1,0,0
3481,746 S. Crouse Ave,Syracuse,NY,13210,US,43.041657,-76.136767,0,0,0,0,1,0
3484,75 Christopher St,New York,NY,10014,US,40.733638,-74.003045,0,0,0,1,1,0
3486,650 Troy Schenectady Rd,Latham,NY,12110,US,42.754395,-73.772453,1,1,1,1,1,0
3488,1034 North Broadway,Yonkers,NY,10701,US,40.969297999999995,-73.88291600000001,0,0,0,0,0,0
3494,10 Newkirk Plaza,Brooklyn,NY,11226,US,40.635215,-73.962497,0,1,0,1,1,0
3495,1093 Second Ave,New York,NY,10022,US,40.759726,-73.965148,0,1,0,1,0,0
3496,337 South Oyster Bay Rd,Plainview,NY,11803,US,40.786522,-73.502926,0,0,0,1,1,0
3509,2365 Central Park Ave,Yonkers,NY,10710,US,40.97927,-73.83062,0,0,0,1,1,0
3513,590 Nepperhan Ave,Yonkers,NY,10703,US,40.945839,-73.882529,0,1,0,0,0,0
3517,1000 Richmond Ter,Staten Island,NY,10301,US,40.637190999999994,-74.127566,0,0,0,0,1,0
3525,900 E. Genesee St,Chittenango,NY,13037,US,43.049011,-75.90243199999999,0,0,0,0,1,0
3528,7007 Myrtle Ave,Glendale,NY,11385,US,40.70215,-73.88068,0,0,0,1,1,0
3535,186 Wolf Rd,Colonie,NY,12205,US,42.723289,-73.80138000000001,1,1,1,1,1,0
3540,11716 Queens Blvd,Forest Hills,NY,11375,US,40.715113,-73.832723,0,1,0,1,1,0
3541,4008 Bell Blvd,Bayside,NY,11361,US,40.764007,-73.77132900000001,0,0,0,1,1,0
3546,476 Second Ave,New York,NY,10016,US,40.740120000000005,-73.97889,0,1,0,1,1,0
3557,175 Varick St,New York,NY,10014,US,40.727247999999996,-74.00559,0,0,0,1,1,0
3558,1375 Rockaway Parkway,Brooklyn,NY,11236,US,40.646209999999996,-73.90333000000001,0,1,0,1,1,0
3562,1495 Montauk Hwy,Mastic,NY,11950,US,40.805959,-72.846029,0,0,0,0,0,0
3563,6120 Fresh Meadow Ln,Fresh Meadows,NY,11365,US,40.737593,-73.795956,0,0,0,1,1,0
3565,2451 Eastchester Rd,Bronx,NY,10469,US,40.862390000000005,-73.84366,0,1,0,0,1,0
3568,636 City Island Ave,Bronx,NY,10464,US,40.855471,-73.791372,0,0,0,0,0,0
3588,1433 2nd Avenue,New York,NY,10021,US,40.770379999999996,-73.95716,0,1,0,1,0,0
3598,369 North Peterboro St,Canastota,NY,13032,US,43.090212,-75.75124699999999,0,0,0,0,1,0
3599,3701 Nostrand Ave,Brooklyn,NY,11235,US,40.593593,-73.940374,0,1,0,1,1,1
3601,578 Atlantic Ave,Brooklyn,NY,11217,US,40.684356,-73.978662,0,1,1,0,0,0
3605,448 Fifth Ave,Brooklyn,NY,11215,US,40.669084000000005,-73.986503,0,0,0,1,1,0
3611,1040 Westchester Ave,Bronx,NY,10459,US,40.824408,-73.892113,0,0,0,0,1,0
3613,1510 Elm Avenue,Brooklyn,NY,11230,US,40.617853000000004,-73.95967900000001,0,1,0,0,1,0
3614,1198 Troy Schenectady Rd,Latham,NY,12110,US,42.770297,-73.821519,1,1,1,1,1,0
3615,241-A Rockaway Pkwy,Brooklyn,NY,11212,US,40.66163,-73.92036,0,0,0,0,1,0
3629,46 E 167th St,Bronx,NY,10452,US,40.83556,-73.920985,0,0,0,0,1,0
3632,647 Maple Ave,Saratoga Springs,NY,12866,US,43.123196,-73.76861,1,1,1,1,1,0
3643,3014 Route 50,Saratoga Springs,NY,12866,US,43.100061,-73.748503,1,1,1,1,1,0
3644,6800 Transit Rd,Williamsville,NY,14221,US,42.952757,-78.69765100000001,1,1,1,0,1,0
3648,140 Delancey Street,New York,NY,10002,US,40.718323999999996,-73.98690400000001,0,0,0,1,1,0
3653,97 Troy Rd,East Greenbush,NY,12061,US,42.620497,-73.702105,0,0,0,1,1,0
3658,126 35th St,Brooklyn,NY,11232,US,40.655702000000005,-74.005765,0,0,0,0,1,0
3663,1420 Broadway,Schenectady,NY,12306,US,42.802871,-73.95601500000001,0,0,0,1,1,0
3664,285-291 Glen Street,GLEN COVE,NY,11542,US,40.859326,-73.620558,0,1,0,1,1,0
3665,74-13 Roosevelt Ave,Jackson Heights,NY,11372,US,40.74657,-73.89079,0,1,0,1,1,0
3677,130 Church St,New York,NY,10007,US,40.714155,-74.008661,0,0,0,0,0,0
3684,969 Route 6,Mahopac,NY,10541,US,41.391603,-73.723519,0,0,0,1,1,0
3688,600 Lake Flower Avenue,Saranac Lake,NY,12983,US,44.311440000000005,-74.116671,0,0,0,0,1,0
3691,1851 E Main St,Mohegan Lake,NY,10547,US,41.321373,-73.85592700000001,1,0,0,1,1,0
3700,114 Bruckner Blvd,Bronx,NY,10454,US,40.804446999999996,-73.92218100000001,0,0,0,0,1,0
3701,215 1st Ave,New York,NY,10003,US,40.730501000000004,-73.98328000000001,0,1,0,1,1,0
3707,9475 Airport Plaza,Dansville,NY,14437,US,42.568402,-77.71767,0,0,0,1,1,0
3710,191 Mineola Ave,Roslyn Heights,NY,11577,US,40.785731,-73.64909499999999,0,0,0,1,0,0
3712,112 Broadway,Greenlawn,NY,11740,US,40.865881,-73.36409599999999,0,0,0,1,0,0
3727,5401 108th St,Corona,NY,11368,US,40.742096000000004,-73.854127,0,1,0,0,1,0
3734,815 10th Ave,New York,NY,10019,US,40.767488,-73.989675,0,1,0,1,1,0
3736,Windsor Highway Route 32,Vails Gate,NY,12584,US,41.454469,-74.057849,0,0,0,0,0,0
3738,127 East 23rd St,New York,NY,10010,US,40.739940999999995,-73.985376,0,1,0,1,0,0
3740,1391 Madison Ave,New York,NY,10029,US,40.787729999999996,-73.95359,0,0,0,1,1,0
3741,579 Peninsula Blvd,Hempstead,NY,11550,US,40.697988,-73.629056,0,1,0,1,0,1
3742,4128 Queens Blvd,Sunnyside,NY,11104,US,40.74341,-73.92268,0,0,0,1,1,0
3744,250 E. 40th St,New York,NY,10016,US,40.748527,-73.973213,0,1,0,1,1,0
3753,2366 Grand Concourse,Bronx,NY,10458,US,40.859114,-73.89856999999999,0,1,0,0,1,0
3767,132 Nassau St,New York,NY,10038,US,40.711056,-74.006579,0,0,0,1,1,0
3781,411 Violet Ave,Poughkeepsie,NY,12601,US,41.740296,-73.910137,0,1,1,1,1,1
3784,2150 Chili Ave,Rochester,NY,14624,US,43.132503,-77.688257,1,1,1,1,1,0
3788,103 North Caroline St,Herkimer,NY,13350,US,43.021453,-74.997579,1,0,0,0,1,0
3793,90-15 Queens Blvd.,Elmhurst,NY,11373,US,40.734344,-73.87084899999999,0,1,1,0,0,1
3803,2815 Middle Country Rd,Lake Grove,NY,11755,US,40.860141999999996,-73.11233299999999,0,0,0,0,0,0
3804,10801 Grand Central Pkwy,East Elmhurst,NY,11369,US,40.76529,-73.86182,0,1,0,0,0,0
3805,10702 Grand Central Pky East,East Elmhurst,NY,11369,US,40.76747,-73.86489,0,1,0,0,0,0
3809,3319 Fulton St,Brooklyn,NY,11208,US,40.683502000000004,-73.873018,0,0,0,0,0,0
3812,7389 Utica Blvd,Lowville,NY,13367,US,43.777309,-75.481447,1,0,0,0,0,0
3823,140 E. 170th St,Bronx,NY,10452,US,40.839013,-73.9149,0,0,0,0,1,0
3829,395 Hudson St,New York,NY,10014,US,40.729354,-74.007149,0,0,0,1,1,0
3848,1320 Hutchinson River Pkwy,Bronx,NY,10461,US,40.850213000000004,-73.837108,0,1,0,1,1,0
3849,1325 Hutchinson River Pkwy,Bronx,NY,10461,US,40.845561,-73.838463,0,1,0,1,1,0
3857,5760 Transit Rd,Depew,NY,14043,US,42.912162,-78.6972,0,1,1,1,1,0
3858,91-23 Queens Blvd,Elmhurst,NY,11373,US,40.733567,-73.869722,0,1,1,0,0,1
3859,1791 Dutch Broadway,Elmont,NY,11003,US,40.689316,-73.708547,0,1,0,1,1,0
3865,3317 Chambers Rd,Horseheads,NY,14845,US,42.160476,-76.878552,1,0,0,0,1,0
