,Latitude,Longitude,CensusTract,State,Zipcode,County,Borough,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Is_Dunkin,Is_Walmart,Is_Walgreens,Is_Target,Is_CVS,Is_Rite,Is_SuperStopnShop
3056,40.502613065300004,-74.2388442211,36085024402,NY,10307,Richmond,Staten Island,4241,2023,2218,3.7,84.5,0.6,0.0,11.2,3078,75167.0,13577.0,36201.0,4488.0,6.5,11.5,44.4,9.7,28.5,10.9,6.5,70.6,6.5,17.2,1.1,0.6,4.0,44.3,2046,75.2,21.2,3.6,0.0,8.3,0,0,0,0,0,0,0
3057,40.502613065300004,-74.235678392,36085024402,NY,10307,Richmond,Staten Island,4241,2023,2218,3.7,84.5,0.6,0.0,11.2,3078,75167.0,13577.0,36201.0,4488.0,6.5,11.5,44.4,9.7,28.5,10.9,6.5,70.6,6.5,17.2,1.1,0.6,4.0,44.3,2046,75.2,21.2,3.6,0.0,8.3,0,0,0,0,0,0,0
3058,40.502613065300004,-74.2325125628,36085024402,NY,10307,Richmond,Staten Island,4241,2023,2218,3.7,84.5,0.6,0.0,11.2,3078,75167.0,13577.0,36201.0,4488.0,6.5,11.5,44.4,9.7,28.5,10.9,6.5,70.6,6.5,17.2,1.1,0.6,4.0,44.3,2046,75.2,21.2,3.6,0.0,8.3,0,0,0,0,0,0,0
3059,40.502613065300004,-74.2293467337,36085024402,NY,10307,Richmond,Staten Island,4241,2023,2218,3.7,84.5,0.6,0.0,11.2,3078,75167.0,13577.0,36201.0,4488.0,6.5,11.5,44.4,9.7,28.5,10.9,6.5,70.6,6.5,17.2,1.1,0.6,4.0,44.3,2046,75.2,21.2,3.6,0.0,8.3,0,0,0,0,0,0,0
3060,40.502613065300004,-74.2261809045,36085024402,NY,10307,Richmond,Staten Island,4241,2023,2218,3.7,84.5,0.6,0.0,11.2,3078,75167.0,13577.0,36201.0,4488.0,6.5,11.5,44.4,9.7,28.5,10.9,6.5,70.6,6.5,17.2,1.1,0.6,4.0,44.3,2046,75.2,21.2,3.6,0.0,8.3,0,0,0,0,0,0,0
3061,40.502613065300004,-74.2230150754,36085024402,NY,10307,Richmond,Staten Island,4241,2023,2218,3.7,84.5,0.6,0.0,11.2,3078,75167.0,13577.0,36201.0,4488.0,6.5,11.5,44.4,9.7,28.5,10.9,6.5,70.6,6.5,17.2,1.1,0.6,4.0,44.3,2046,75.2,21.2,3.6,0.0,8.3,0,0,0,0,0,0,0
3062,40.5048743719,-74.2388442211,36085024402,NY,10307,Richmond,Staten Island,4241,2023,2218,3.7,84.5,0.6,0.0,11.2,3078,75167.0,13577.0,36201.0,4488.0,6.5,11.5,44.4,9.7,28.5,10.9,6.5,70.6,6.5,17.2,1.1,0.6,4.0,44.3,2046,75.2,21.2,3.6,0.0,8.3,0,0,0,0,0,0,0
3063,40.5048743719,-74.235678392,36085024402,NY,10307,Richmond,Staten Island,4241,2023,2218,3.7,84.5,0.6,0.0,11.2,3078,75167.0,13577.0,36201.0,4488.0,6.5,11.5,44.4,9.7,28.5,10.9,6.5,70.6,6.5,17.2,1.1,0.6,4.0,44.3,2046,75.2,21.2,3.6,0.0,8.3,0,0,0,0,0,0,0
3064,40.5048743719,-74.2325125628,36085024402,NY,10307,Richmond,Staten Island,4241,2023,2218,3.7,84.5,0.6,0.0,11.2,3078,75167.0,13577.0,36201.0,4488.0,6.5,11.5,44.4,9.7,28.5,10.9,6.5,70.6,6.5,17.2,1.1,0.6,4.0,44.3,2046,75.2,21.2,3.6,0.0,8.3,0,0,0,0,0,0,0
3065,40.5048743719,-74.2293467337,36085024402,NY,10307,Richmond,Staten Island,4241,2023,2218,3.7,84.5,0.6,0.0,11.2,3078,75167.0,13577.0,36201.0,4488.0,6.5,11.5,44.4,9.7,28.5,10.9,6.5,70.6,6.5,17.2,1.1,0.6,4.0,44.3,2046,75.2,21.2,3.6,0.0,8.3,0,0,0,0,0,0,0
3066,40.5048743719,-74.2261809045,36085024402,NY,10307,Richmond,Staten Island,4241,2023,2218,3.7,84.5,0.6,0.0,11.2,3078,75167.0,13577.0,36201.0,4488.0,6.5,11.5,44.4,9.7,28.5,10.9,6.5,70.6,6.5,17.2,1.1,0.6,4.0,44.3,2046,75.2,21.2,3.6,0.0,8.3,0,0,0,0,0,0,0
3067,40.5048743719,-74.2230150754,36085024402,NY,10307,Richmond,Staten Island,4241,2023,2218,3.7,84.5,0.6,0.0,11.2,3078,75167.0,13577.0,36201.0,4488.0,6.5,11.5,44.4,9.7,28.5,10.9,6.5,70.6,6.5,17.2,1.1,0.6,4.0,44.3,2046,75.2,21.2,3.6,0.0,8.3,0,0,0,0,0,0,0
3068,40.507135678400005,-74.2293467337,36085024402,NY,10307,Richmond,Staten Island,4241,2023,2218,3.7,84.5,0.6,0.0,11.2,3078,75167.0,13577.0,36201.0,4488.0,6.5,11.5,44.4,9.7,28.5,10.9,6.5,70.6,6.5,17.2,1.1,0.6,4.0,44.3,2046,75.2,21.2,3.6,0.0,8.3,0,0,0,0,0,0,0
3069,40.507135678400005,-74.2261809045,36085024402,NY,10307,Richmond,Staten Island,4241,2023,2218,3.7,84.5,0.6,0.0,11.2,3078,75167.0,13577.0,36201.0,4488.0,6.5,11.5,44.4,9.7,28.5,10.9,6.5,70.6,6.5,17.2,1.1,0.6,4.0,44.3,2046,75.2,21.2,3.6,0.0,8.3,0,0,0,0,0,0,0
3070,40.507135678400005,-74.2230150754,36085024402,NY,10307,Richmond,Staten Island,4241,2023,2218,3.7,84.5,0.6,0.0,11.2,3078,75167.0,13577.0,36201.0,4488.0,6.5,11.5,44.4,9.7,28.5,10.9,6.5,70.6,6.5,17.2,1.1,0.6,4.0,44.3,2046,75.2,21.2,3.6,0.0,8.3,0,0,0,0,0,0,0
3071,40.4980904523,-74.2198492462,36085019800,NY,10307,Richmond,Staten Island,6690,3538,3152,5.9,88.2,1.5,0.5,3.7,5035,90625.0,14411.0,41483.0,7256.0,5.3,8.2,43.6,13.7,26.5,10.2,5.9,69.6,3.3,23.5,1.2,0.5,1.9,39.0,3104,78.3,16.7,5.0,0.0,3.2,0,0,0,0,0,0,0
3072,40.4980904523,-74.2166834171,36085019800,NY,10307,Richmond,Staten Island,6690,3538,3152,5.9,88.2,1.5,0.5,3.7,5035,90625.0,14411.0,41483.0,7256.0,5.3,8.2,43.6,13.7,26.5,10.2,5.9,69.6,3.3,23.5,1.2,0.5,1.9,39.0,3104,78.3,16.7,5.0,0.0,3.2,0,0,0,0,0,0,0
3073,40.4980904523,-74.2135175879,36085019800,NY,10307,Richmond,Staten Island,6690,3538,3152,5.9,88.2,1.5,0.5,3.7,5035,90625.0,14411.0,41483.0,7256.0,5.3,8.2,43.6,13.7,26.5,10.2,5.9,69.6,3.3,23.5,1.2,0.5,1.9,39.0,3104,78.3,16.7,5.0,0.0,3.2,0,0,0,0,0,0,0
